Unique Key,Created Date,Borough,Zip,City,Complaint Type
35139948,2014-01-01 00:00:59,BRONX,10467,BRONX,HEAT/HOT WATER
35139948,2017-01-01 00:00:59,BRONX,10467,BRONX,HEAT/HOT WATER
35140478,2017-01-01 00:01:43,QUEENS,11368,CORONA,Blocked Driveway
35138317,2017-01-01 00:02:54,BROOKLYN,11209,BROOKLYN,Noise - Residential
35139300,2017-01-01 00:03:41,MANHATTAN,10040,NEW YORK,Noise - Residential
35143952,2017-01-01 00:03:42,BRONX,10470,BRONX,HEAT/HOT WATER
35138219,2017-01-01 00:04:00,BROOKLYN,11217,BROOKLYN,Traffic Signal Condition
35137537,2017-01-01 00:04:01,BROOKLYN,11214,BROOKLYN,Noise - Residential
35138401,2017-01-01 00:06:04,QUEENS,11691,FAR ROCKAWAY,Noise - Residential
35143178,2017-01-01 00:08:00,STATEN ISLAND,10305,STATEN ISLAND,Traffic Signal Condition
35139201,2017-01-01 00:08:24,BRONX,10458,BRONX,Noise - Residential
35140227,2017-01-01 00:09:08,QUEENS,11366,FRESH MEADOWS,Noise - Residential
35138514,2017-01-01 00:09:22,BROOKLYN,11217,BROOKLYN,Noise - Commercial
35139192,2017-01-01 00:11:25,BRONX,10460,BRONX,Blocked Driveway
35141927,2017-01-01 00:12:02,BROOKLYN,11204,BROOKLYN,Noise - Residential
35138447,2017-01-01 00:12:23,QUEENS,11419,SOUTH RICHMOND HILL,Blocked Driveway
35138731,2017-01-01 00:12:36,BRONX,10457,BRONX,Noise - Residential
35141039,2017-01-01 00:12:44,STATEN ISLAND,10312,STATEN ISLAND,Noise - Residential
35136964,2017-01-01 00:12:52,QUEENS,11419,SOUTH RICHMOND HILL,Blocked Driveway
35139279,2017-01-01 00:13:01,QUEENS,11373,ELMHURST,Noise - Residential
35142731,2017-01-01 00:13:28,BROOKLYN,11214,BROOKLYN,Blocked Driveway
35137369,2017-01-01 00:13:48,QUEENS,11374,REGO PARK,Noise - Residential
35137540,2017-01-01 00:14:00,BROOKLYN,11215,BROOKLYN,Noise - Street/Sidewalk
35140093,2017-01-01 00:14:02,BROOKLYN,11205,BROOKLYN,Noise - Residential
35136997,2017-01-01 00:14:06,MANHATTAN,10011,NEW YORK,Noise - Commercial
35145620,2017-01-01 00:14:24,MANHATTAN,10033,NEW YORK,HEAT/HOT WATER
35140898,2017-01-01 00:15:11,QUEENS,11368,CORONA,Blocked Driveway
35141975,2017-01-01 00:15:24,BROOKLYN,11221,BROOKLYN,Noise - Residential
35141719,2017-01-01 00:15:49,BROOKLYN,11234,BROOKLYN,Noise - Residential
35137596,2017-01-01 00:15:51,BROOKLYN,11232,BROOKLYN,Noise - Residential
35139322,2017-01-01 00:15:56,BROOKLYN,11229,BROOKLYN,Noise - Street/Sidewalk
35142562,2017-01-01 00:16:43,BROOKLYN,11249,BROOKLYN,Noise - Residential
35138402,2017-01-01 00:17:37,MANHATTAN,10031,NEW YORK,Noise - Residential
35136991,2017-01-01 00:17:38,QUEENS,11377,WOODSIDE,Noise - Residential
35146238,2017-01-01 00:17:49,BRONX,10472,BRONX,HEAT/HOT WATER
35142669,2017-01-01 00:17:55,STATEN ISLAND,10312,STATEN ISLAND,Noise - Residential
35141644,2017-01-01 00:18:00,BROOKLYN,11207,BROOKLYN,Traffic Signal Condition
35140901,2017-01-01 00:18:10,MANHATTAN,10027,NEW YORK,Noise - Residential
35138363,2017-01-01 00:18:27,QUEENS,11374,REGO PARK,Noise - Residential
35142670,2017-01-01 00:19:07,BROOKLYN,11234,BROOKLYN,Illegal Parking
